student_id,student_name,grade,section,teacher,assessment,student_group,purpose,evidence,language,raw_score,band,submission_status,score_band,student_score_id,season,writing_type,assessment_date,school_name,district_name,academic_year
300001,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,3,1,1,5,Proficient,Submitted,Proficient (5-6),700001,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300001,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,3,3,2,8,Advanced,Submitted,Advanced (7-8),700002,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300001,"Small, Olivia",4,C,Emily Carter,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,3,2,2,7,Advanced,Submitted,Advanced (7-8),700003,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300002,"Rivera, Dana",5,C,Jennifer Thomas,Oct-4 Fall Baseline - My Favorite Place,Intervention,0,0,0,0,Beginning,Submitted,Beginning (0-2),700004,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300002,"Rivera, Dana",5,C,Jennifer Thomas,Jan-12 Winter Benchmark - Community Heroes,Intervention,0,0,1,1,Beginning,Submitted,Beginning (0-2),700005,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300002,"Rivera, Dana",5,C,Jennifer Thomas,Mar-9 GA Extended Writing Task - Athletic Ability,Intervention,0,1,0,1,Beginning,Submitted,Beginning (0-2),700006,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300003,"Martinez, Elijah",3,B,Priya Shah,Oct-4 Fall Baseline - My Favorite Place,General,1,1,1,3,Developing,Submitted,Developing (3-4),700007,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300003,"Martinez, Elijah",3,B,Priya Shah,Jan-12 Winter Benchmark - Community Heroes,General,2,3,1,6,Proficient,Submitted,Proficient (5-6),700008,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300003,"Martinez, Elijah",3,B,Priya Shah,Mar-9 GA Extended Writing Task - Athletic Ability,General,2,3,2,7,Advanced,Submitted,Advanced (7-8),700009,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300004,"Gilstrap, Cruz",4,A,Jasmine Ramey,Oct-4 Fall Baseline - My Favorite Place,IEP,1,1,1,3,Developing,Submitted,Developing (3-4),700010,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300004,"Gilstrap, Cruz",4,A,Jasmine Ramey,Jan-12 Winter Benchmark - Community Heroes,IEP,2,2,1,5,Proficient,Submitted,Proficient (5-6),700011,Winter,Informational,2026-01-12,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300004,"Gilstrap, Cruz",4,A,Jasmine Ramey,Mar-9 GA Extended Writing Task - Athletic Ability,IEP,2,1,2,5,Proficient,Submitted,Proficient (5-6),700012,Spring,Argumentative,2026-03-09,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
300005,"Jones, Grant",5,A,David Brown,Oct-4 Fall Baseline - My Favorite Place,Intervention,1,0,1,2,Beginning,Submitted,Beginning (0-2),700013,Fall,Narrative,2025-10-04,Beecher Hills Elementary,Atlanta Public Schools,2025-2026
