id,student_name,grade,section,teacher,assessment,student_group,domain,skill,rating,student_score_id
1,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Introduction,Strong,700001
2,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Progression,Partial,700001
3,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Conclusion,Partial,700001
4,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Purpose & Organization,Transitions,Strong,700001
5,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Focus,Weak,700001
6,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Dev of Support,Weak,700001
7,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Evidence & Elaboration,Word Choice,Insufficient,700001
8,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Capitalization,Weak,700001
9,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Punctuation,Partial,700001
10,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Spelling,Insufficient,700001
11,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Usage,Partial,700001
12,"Small, Olivia",4,C,Emily Carter,Oct-4 Fall Baseline - My Favorite Place,Intervention,Language Usage & Conventions,Sentence Formation,Partial,700001
13,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Introduction,Sufficient,700002
14,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Progression,Sufficient,700002
15,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Conclusion,Sufficient,700002
16,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Purpose & Organization,Transitions,Sufficient,700002
17,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Focus,Weak,700002
18,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Dev of Support,Strong,700002
19,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Evidence & Elaboration,Word Choice,Strong,700002
20,"Small, Olivia",4,C,Emily Carter,Jan-12 Winter Benchmark - Community Heroes,Intervention,Language Usage & Conventions,Capitalization,Strong,700002
